temps (s),tension (V),courant (A)
2573.9296875,3.1354107889513,6
2591.9296875,3.12186872658001,6
2609.9296875,3.10644130115411,6
2627.9296875,3.08905914314708,6
2645.9296875,3.06997301575984,6
2663.9296875,3.04968398354256,6
2681.9296875,3.02876502940927,6
2699.9296875,3.00768757059457,6
2717.9296875,2.98671202914978,6
2735.9296875,2.96585033088375,6
2753.9296875,2.94488196850407,6
2771.9296875,2.92339338761669,6
2789.9296875,2.9008131465075,6
2807.9296875,2.87642930868684,6
2825.9296875,2.84938989610653,6
2843.9296875,2.81869276700497,6
2861.9296875,2.78316746307833,6
2879.9296875,2.74144550145478,6
2897.9296875,2.69191419321737,6
2915.9296875,2.6326519906895,6
2933.9296875,2.56134552420298,6
2951.9296875,2.47518729450392,6
2969.9296875,2.37074951151075,6
2987.9296875,2.24382477946525,6
3005.9296875,2.08921592090038,6
3023.9296875,2,5.14398599807719
3041.9296875,2,3.87942798913574
3059.9296875,2,3.17033615677357
3077.9296875,2,2.66395368208284
3095.9296875,2,2.27083652965503
3113.9296875,2,1.9530600883337
3131.9296875,2,1.69012885082453
3149.9296875,2,1.4693531496538
3167.9296875,2,1.28213193636888
3185.9296875,2,1.12224042270473
3203.9296875,2,0.984953344754823
3221.9296875,2,0.866560135733167
3239.9296875,2,0.764078057726046
3257.9296875,2,0.675071201487653
3275.9296875,2,0.59752909420639
3293.9296875,2,0.529780585521771
3311.9296875,2,0.47042969685455
3329.9296875,2,0.418305899051591
3347.9296875,2,0.372424431294877
3365.9296875,2,0.331954030707799
3383.9296875,2,0.296190428151957
3401.9296875,2,0.26453451317131
3419.9296875,2,0.236474369932924
3437.9296875,2,0.211570550242213
3455.9296875,2,0.189444045971477
3473.9296875,2,0.169766503632643
3491.9296875,2,0.152252246576032
3509.9296875,2,0.136651798455308
3527.9296875,2,0.12274657518155
3545.9296875,2,0.110344523705999
3563.9296875,2,0.0992765088173263
3581.9296875,2,0.0893932944585142
3599.9296875,2,0.080562999634515
3617.9296875,2,0.072668936008464
3635.9296875,2,0.0656077554616267
